# Time-averaged data for fix 6
# TimeStep v_TEMPE v_PEA
400000 650.01 -3.86709
800000 700.129 -3.85924
1200000 749.764 -3.85115
1600000 800.213 -3.84294
2000000 849.811 -3.83451
2400000 900.189 -3.82584
2800000 950.105 -3.81684
3200000 1000.14 -3.80769
3600000 1049.86 -3.79815
4000000 1099.99 -3.78811
4400000 1150.03 -3.77766
4800000 1199.74 -3.76657
5200000 1249.94 -3.75459
5600000 1300.05 -3.73918
6000000 1349.81 -3.61774
6400000 1400.4 -3.606
6800000 1450.65 -3.59433
7200000 1500.02 -3.58267
7600000 1550.1 -3.57152
8000000 1599.79 -3.56038
8400000 1650.18 -3.54914
8800000 1700.28 -3.53773
9200000 1749.75 -3.52644
