# Time-averaged data for fix 6
# TimeStep v_TEMPE v_PEA
400000 1749.92 -3.52665
800000 1700.08 -3.53758
1200000 1650.13 -3.54876
1600000 1600.23 -3.56018
2000000 1549.9 -3.57148
2400000 1499.92 -3.58285
2800000 1450.17 -3.59439
3200000 1400.05 -3.6057
3600000 1349.72 -3.61772
4000000 1299.92 -3.62933
4400000 1250.21 -3.64147
4800000 1199.98 -3.65371
5200000 1150.36 -3.66577
5600000 1099.95 -3.67812
6000000 1049.94 -3.69073
6400000 999.748 -3.70357
6800000 949.797 -3.71623
7200000 900.184 -3.72893
7600000 849.803 -3.74203
8000000 800.27 -3.75507
8400000 749.991 -3.76819
8800000 700.075 -3.78242
9200000 650.141 -3.85525
9600000 599.685 -3.86357
