# Time-averaged data for fix 6
# TimeStep v_TEMPE v_PEA
400000 850.036 -3.79122
800000 900.177 -3.78346
1200000 950.259 -3.77563
1600000 1000.14 -3.76774
2000000 1049.75 -3.75964
2400000 1100.23 -3.75154
2800000 1150.14 -3.74318
3200000 1199.62 -3.73464
3600000 1249.66 -3.72596
4000000 1300.42 -3.71697
4400000 1349.93 -3.70801
4800000 1400.74 -3.69865
5200000 1450.04 -3.68915
5600000 1499.49 -3.67922
6000000 1550.26 -3.66871
6400000 1600.22 -3.65796
6800000 1650.17 -3.64558
7200000 1699.75 -3.63106
7600000 1749.67 -3.5029
8000000 1799.79 -3.49304
8400000 1849.86 -3.48326
8800000 1900.81 -3.47347
9200000 1950.02 -3.46373
9600000 1999.18 -3.45418
