# Time-averaged data for fix 6
# TimeStep v_TEMPE v_PEA
400000 1950.13 -3.46365
800000 1900.09 -3.47341
1200000 1850.62 -3.48318
1600000 1799.9 -3.49284
2000000 1749.54 -3.50289
2400000 1700.02 -3.51294
2800000 1650.16 -3.52296
3200000 1599.41 -3.53317
3600000 1549.73 -3.54349
4000000 1499.38 -3.55398
4400000 1449.46 -3.56415
4800000 1400.18 -3.57468
5200000 1349.91 -3.58517
5600000 1299.97 -3.59614
6000000 1249.93 -3.60684
6400000 1200.12 -3.6176
6800000 1150.38 -3.62862
7200000 1100.85 -3.63977
7600000 1050.42 -3.65091
8000000 1000.14 -3.66232
